year,site,soilpH,om_pct,soilk_ppm,soilp_ppm,pHom,pk,soilpH^2,om_pct^2,p+k,norm_pk
2019,WIH2_2019,7.1,4.5,111,40,31.95,4440,50.41,20.25,151,0.470198675
2020,DEH1_2020,6.1,1.5,117,108,9.15,12636,37.21,2.25,225,0.04
2020,GAH1_2020,6.9,0.9,76,137,6.21,10412,47.61,0.81,213,-0.286384977
2020,GAH2_2020,6.3,2.7,109,16,17.01,1744,39.69,7.29,125,0.744
2020,GEH1_2020,7.1,2.5,250,62,17.75,15500,50.41,6.25,312,0.602564103
2020,IAH1_2020,6.2,5.1,157,30,31.62,4710,38.44,26.01,187,0.679144385
2020,INH1_2020,6.6,2.9,105,15,19.14,1575,43.56,8.41,120,0.75
2020,MIH1_2020,6.3,1.8,143,26,11.34,3718,39.69,3.24,169,0.692307692
2020,MNH1_2020,6.6,3.4,200,54,22.44,10800,43.56,11.56,254,0.57480315
2020,MOH1_1_2020,6.1,2.4,100,21,14.64,2100,37.21,5.76,121,0.652892562
2020,MOH1_2_2020,6.1,2.4,100,21,14.64,2100,37.21,5.76,121,0.652892562
2020,NCH1_2020,5.5,2,182,53,11,9646,30.25,4,235,0.54893617
2020,NEH1_2020,5.3,3.9,419,9,20.67,3771,28.09,15.21,428,0.957943925
2020,NYH2_2020,8.07,3.8,48,9,30.666,432,65.1249,14.44,57,0.684210526
2020,NYH3_2020,7.9,3.1,50,9,24.49,450,62.41,9.61,59,0.694915254
2020,NYS1_2020,8,3.8,59,9,30.4,531,64,14.44,68,0.735294118
2020,OHH1_2020,6.4,4.3,187,32,27.52,5984,40.96,18.49,219,0.707762557
2020,SCH1_2020,6.4,4.17,106,50,26.688,5300,40.96,17.3889,156,0.358974359
2020,TXH1_2020,8.1,1.6,285,39,12.96,11115,65.61,2.56,324,0.759259259
2020,TXH2_2020,8,2.8,538,37,22.4,19906,64,7.84,575,0.871304348
2020,TXH3_2020,7.9,2,340,29,15.8,9860,62.41,4,369,0.842818428
2020,WIH1_2020,5.9,4.2,198,50,24.78,9900,34.81,17.64,248,0.596774194
2020,WIH2_2020,6.7,4.7,183,68,31.49,12444,44.89,22.09,251,0.458167331
2020,WIH3_2020,5.3,1,72,93,5.3,6696,28.09,1,165,-0.127272727
2021,DEH1_2021,6.1,1,115,103,6.1,11845,37.21,1,218,0.055045872
2021,GAH2_2021,6.1,2.5,196,57,15.25,11172,37.21,6.25,253,0.549407115
2021,GEH1_2021,7.7,2.2,224,75,16.94,16800,59.29,4.84,299,0.498327759
2021,IAH1_2021,6.3,5.2,182,71,32.76,12922,39.69,27.04,253,0.438735178
2021,IAH2_2021,5.7,4.3,284,57,24.51,16188,32.49,18.49,341,0.66568915
2021,IAH3_2021,5.9,4.1,188,63,24.19,11844,34.81,16.81,251,0.498007968
2021,IAH4_2021,5.9,3,239,52,17.7,12428,34.81,9,291,0.642611684
2021,INH1_2021,6.9,3.9,165,25,26.91,4125,47.61,15.21,190,0.736842105
2021,MIH1_2021,7,2.4,106,58,16.8,6148,49,5.76,164,0.292682927
2021,NCH1_2021,6.15,1.2,87.5,62.5,7.38,5468.75,37.8225,1.44,150,0.166666667
2021,NEH1_2021,6,3.3,172,46,19.8,7912,36,10.89,218,0.577981651
2021,NEH2_2021,5.8,3,147,42,17.4,6174,33.64,9,189,0.555555556
2021,NEH3_2021,5.8,3,147,42,17.4,6174,33.64,9,189,0.555555556
2021,NYH2_2021,8,3.1,53,8,24.8,424,64,9.61,61,0.737704918
2021,NYH3_2021,7.6,3.5,63,13,26.6,819,57.76,12.25,76,0.657894737
2021,NYS1_2021,8.1,4.2,61,18,34.02,1098,65.61,17.64,79,0.544303797
2021,SCH1_2021,6.25,2.76,112.3,103.1,17.25,11578.13,39.0625,7.6176,215.4,0.042711235
2021,TXH1_2021,7.9,2,322,16,15.8,5152,62.41,4,338,0.905325444
2021,TXH2_2021,7.8,2.1,311,15,16.38,4665,60.84,4.41,326,0.90797546
2021,TXH3_2021,8,2.6,411,14,20.8,5754,64,6.76,425,0.934117647
2021,WIH1_2021,6.4,5.1,316,132,32.64,41712,40.96,26.01,448,0.410714286
2021,WIH2_2021,6.8,4.5,152,64,30.6,9728,46.24,20.25,216,0.407407407
2021,WIH3_2021,6.1,1,70,74,6.1,5180,37.21,1,144,-0.027777778
2022,DEH1_2022,6.6,1.2,136,75,7.92,10200,43.56,1.44,211,0.289099526
2022,GAH1_2022,6.2,0.9,236,137,5.58,32332,38.44,0.81,373,0.26541555
2022,GAH2_2022,6.1,2.6,149,45,15.86,6705,37.21,6.76,194,0.536082474
2022,IAH1_2022,6.2,4.9,197,51,30.38,10047,38.44,24.01,248,0.588709677
2022,IAH2_2022,5.9,3.9,196,59,23.01,11564,34.81,15.21,255,0.537254902
2022,IAH3_2022,6.6,4.8,194,47,31.68,9118,43.56,23.04,241,0.609958506
2022,IAH4_2022,5.9,4.8,297,77,28.32,22869,34.81,23.04,374,0.588235294
2022,INH1_2022,6.9,3.6,160,23,24.84,3680,47.61,12.96,183,0.74863388
2022,MIH1_2022,6.4,2,110,34,12.8,3740,40.96,4,144,0.527777778
2022,MOH2_2022,7.7,2.9,96,46,22.33,4416,59.29,8.41,142,0.352112676
2022,NCH1_2022,6,1.3,108,34,7.8,3672,36,1.69,142,0.521126761
2022,NEH1_2022,6.3,3.4,231,56,21.42,12936,39.69,11.56,287,0.609756098
2022,NYH2_2022,7.9,3.7,38,13,29.23,494,62.41,13.69,51,0.490196078
2022,NYH3_2022,8,3.5,45,15,28,675,64,12.25,60,0.5
2022,OHH1_2022,6,4.8,126,61,28.8,7686,36,23.04,187,0.347593583
2022,SCH1_2022,6.9,4.5,100,52,31.05,5200,47.61,20.25,152,0.315789474
2022,TXH1_2022,8.2,1.9,151,8,15.58,1208,67.24,3.61,159,0.899371069
2022,TXH2_2022,8.3,1.8,150,9,14.94,1350,68.89,3.24,159,0.886792453
2022,TXH3_2022,8.1,2.6,190,7,21.06,1330,65.61,6.76,197,0.92893401
2022,WIH1_2022,6.8,3.5,188,90,23.8,16920,46.24,12.25,278,0.352517986
2022,WIH2_2022,6.8,3.9,152,56,26.52,8512,46.24,15.21,208,0.461538462
2022,WIH3_2022,5.3,0.9,104,103,4.77,10712,28.09,0.81,207,0.004830918
2023,DEH1_2023,6.2,1.5,192,205,9.3,39360,38.44,2.25,397,-0.032745592
2023,GAH1_2023,7,0.8,134,102,5.6,13668,49,0.64,236,0.13559322
2023,GAH2_2023,5.8,2.5,165,69,14.5,11385,33.64,6.25,234,0.41025641
2023,IAH1_2023,5.9,4.9,160,42,28.91,6720,34.81,24.01,202,0.584158416
2023,IAH2_2023,5.7,4.2,251,52,23.94,13052,32.49,17.64,303,0.656765677
2023,IAH3_2023,5.9,4.1,187,55,24.19,10285,34.81,16.81,242,0.545454545
2023,IAH4_2023,5.9,3.1,192,49,18.29,9408,34.81,9.61,241,0.593360996
2023,INH1_2023,7,4.2,160,32,29.4,5120,49,17.64,192,0.666666667
2023,MIH1_2023,6.6,2.6,135,67,17.16,9045,43.56,6.76,202,0.336633663
2023,MNH1_2023,7.1,4.6,162,52,32.66,8424,50.41,21.16,214,0.514018692
2023,MOH1_2023,7,3.1,136,28,21.7,3808,49,9.61,164,0.658536585
2023,MOH2_2023,7.4,2.3,148,63,17.02,9324,54.76,5.29,211,0.402843602
2023,NCH1_2023,5.6,0.8,98,91,4.48,8918,31.36,0.64,189,0.037037037
2023,NEH1_2023,6.1,2.5,124,27,15.25,3348,37.21,6.25,151,0.642384106
2023,NYH2_2023,7.9,3.1,55,13,24.49,715,62.41,9.61,68,0.617647059
2023,NYH3_2023,7.4,3.2,50,11,23.68,550,54.76,10.24,61,0.639344262
2023,OHH1_2023,7.6,5.3,128,41,40.28,5248,57.76,28.09,169,0.514792899
2023,TXH1_2023,8.1,2.4,371,32,19.44,11872,65.61,5.76,403,0.841191067
2023,TXH2_2023,7.8,2.2,418,37,17.16,15466,60.84,4.84,455,0.837362637
2023,TXH3_2023,8.1,2.4,442,36,19.44,15912,65.61,5.76,478,0.849372385
2023,WIH1_2023,7.1,4.1,124,91,29.11,11284,50.41,16.81,215,0.153488372
2023,WIH2_2023,6.5,5.2,94,48,33.8,4512,42.25,27.04,142,0.323943662
2023,WIH3_2023,5.6,0.7,113,74,3.92,8362,31.36,0.49,187,0.20855615
